"Date","Time","Latitude","Longitude","Depth","Mag","TypeMag","smaj","smin","az","rms","cPhase","Region"
"2008-12-01","13:25:19","-3","136.92","90","4.3","MLv","12.52","2.06","152","0.865","11","Irian Jaya Region; Indonesia  "
"2008-12-01","13:33:24","-0.35","98.64","15","3.7","MLv","3.03","1.07","210","0.565","10","Southern Sumatra; Indonesia   "
"2008-12-01","14:20:22","-8.55","107.84","16","4.3","MLv","10.73","0.99","136","1.157","30","Java; Indonesia    "
"2008-12-01","14:24:33","3.26","97.37","24","2.5","MLv","3.84","0.19","132","3.062","8","Northern Sumatra; Indonesia   "
"2008-12-01","15:27:11","1.17","126.97","24","3.8","MLv","8.28","0.57","165","1.506","13","Northern Molucca Sea   "
"2008-12-01","15:33:20","2.27","122.42","30","3.7","MLv","3.3","1.72","274","2.062","6","Celebes Sea    "
"2008-12-01","16:10:01","-4.11","119.18","82","2.4","MLv","1.92","0.59","193","1.646","8","Sulawesi; Indonesia    "
"2008-12-01","16:12:06","-5.25","103.52","27","2.8","MLv","1.33","0.58","261","0.336","6","Southern Sumatra; Indonesia   "
"2008-12-01","16:12:52","-2.74","139.18","23","2.8","MLv","3.43","0.88","114","0.504","5","Near North Coast of Irian Jaya"
"2008-12-01","17:31:31","-5.1","101.34","10","4.2","MLv","13.16","1.77","188","1.463","19","Southwest of Sumatra; Indonesia  "
"2008-12-01","18:06:34","-1.44","97.16","47","5","MLv","20.43","1.93","224","1.579","35","Southwest of Sumatra; Indonesia  "
"2008-12-01","20:31:42","-4.62","112.46","442","4.3","MLv","8.26","2.64","97","1.25","10","Java Sea    "
"2008-12-02","03:01:15","-2.9","127.6","10","3.1","MLv","1.4","0.61","233","0.626","7","Ceram Sea    "
"2008-12-02","09:04:33","1.15","126.74","10","4.2","MLv","4.85","0.73","219","0.508","6","Northern Molucca Sea   "
"2008-12-02","09:10:56","-2.48","140.19","10","4.8","mb","74.08","0.52","138","1.627","16","Near North Coast of Irian Jaya"
"2008-12-02","09:10:56","-2.42","140.22","10","4.8","mb","22.98","0.49","171","1.271","14","Near North Coast of Irian Jaya"
"2008-12-02","11:29:12","-2.79","128.44","10","2.8","MLv","2.34","0.73","162","0.194","6","Ceram Sea    "
"2008-12-02","12:05:36","1.79","99.04","10","3.2","MLv","3.83","0.55","157","0.665","7","Northern Sumatra; Indonesia   "
"2008-12-02","12:47:10","1.33","122.19","10","4.2","MLv","6.76","0.88","174","0.959","9","Minahassa Peninsula; Sulawesi   "
"2008-12-02","13:18:17","2.47","128.25","218","4.8","MLv","10.61","1.9","239","1.362","21","Halmahera; Indonesia    "
"2008-12-02","13:56:25","1.09","122.27","10","3.2","MLv","2.18","0.69","273","1.375","5","Minahassa Peninsula; Sulawesi   "
"2008-12-02","19:23:57","0.15","122.48","146","2.4","MLv","1.56","0.63","135","0.15","7","Minahassa Peninsula; Sulawesi   "
"2008-12-02","22:04:30","1.53","98.18","10","3","MLv","1.99","1.38","212","0.127","4","Northern Sumatra; Indonesia   "
"2008-12-02","22:07:41","-7.35","108.69","10","3","MLv","1.19","0.49","274","0.408","4","Java; Indonesia    "
"2008-12-02","22:08:59","-2.65","126.8","10","3.4","MLv","1.73","0.66","334","0.088","4","Ceram Sea    "
"2008-12-02","22:15:09","-0.3","122.65","10","2.6","MLv","3.63","1","159","0.426","5","Minahassa Peninsula; Sulawesi   "
"2008-12-02","22:18:25","0.36","123.37","183","3.4","MLv","4.25","0.46","104","1.229","7","Minahassa Peninsula; Sulawesi   "
"2008-12-02","22:36:33","-0.51","122.64","10","3.5","MLv","1.72","0.55","115","1.658","10","Minahassa Peninsula; Sulawesi   "
"2008-12-03","00:45:10","0.95","125.99","20","3.7","MLv","3.78","1.39","107","1.652","9","Northern Molucca Sea   "
"2008-12-03","00:54:44","-7.94","107.27","19","3.6","MLv","2.05","0.66","227","0.62","8","Java; Indonesia    "
"2008-12-03","04:37:40","-1.21","123.42","10","3.8","MLv","2.24","0.67","262","0.793","8","Sulawesi; Indonesia    "
"2008-12-03","09:30:06","1.1","120.9","10","3.6","MLv","4.26","1.21","254","0.823","6","Minahassa Peninsula; Sulawesi   "
"2008-12-03","12:21:46","3.3","97.14","6","4.2","MLv","5.34","0.06","178","0.574","11","Northern Sumatra; Indonesia   "
"2008-12-03","15:28:13","2.55","126.03","97","4.2","MLv","6.56","1.24","167","0.612","14","Northern Molucca Sea   "
"2008-12-03","17:46:25","0.71","126.18","78","3.7","MLv","4.81","1.18","100","0.375","12","Northern Molucca Sea   "
"2008-12-03","19:02:48","-9.99","113.99","74","3.7","MLv","3.99","1.52","243","0.728","21","South of Java; Indonesia  "
"2008-12-03","21:17:47","-1.13","121.82","70","3.5","MLv","4.39","0.96","88","0.71","13","Sulawesi; Indonesia    "
"2008-12-03","23:25:15","-3.67","113.22","10","4.6","MLv","5.06","1.63","219","1.715","7","Borneo     "
"2008-12-04","08:57:43","-5.65","116.46","356","5.3","mb","84.21","3.54","88","1.647","7","Java Sea    "
"2008-12-04","12:24:28","2.04","126.69","120","3.6","MLv","13.26","1.43","187","1.345","8","Northern Molucca Sea   "
"2008-12-04","12:57:28","4.39","126.06","140","4.2","mb","8.98","0.88","293","1.156","12","Talaud Islands; Indonesia   "
"2008-12-04","15:53:01","1.8","99.07","5","3.3","MLv","3.81","0.54","155","0.785","9","Northern Sumatra; Indonesia   "
"2008-12-04","17:05:23","-4.41","126.12","650","4.2","MLv","19.47","1.53","182","1.368","10","Banda Sea    "
"2008-12-04","19:31:23","-9","110.74","36","3","MLv","3.22","0.91","249","0.405","10","Java; Indonesia    "
"2008-12-04","20:01:05","-7.6","109.81","14","3.1","MLv","2.74","0.28","147","1.718","14","Java; Indonesia    "
"2008-12-04","21:01:29","4.03","96.53","84","4.6","mb","26.7","1","177","0.554","29","Northern Sumatra; Indonesia   "
"2008-12-04","21:40:17","1.78","127.18","106","4.1","MLv","10.03","1.02","259","0.746","15","Halmahera; Indonesia    "
"2008-12-04","22:03:29","0.28","121.91","187","2.9","MLv","2.09","0.2","222","0.327","7","Minahassa Peninsula; Sulawesi   "
"2008-12-04","23:13:33","3.59","122.49","588","4.7","Mw(mB","46.07","2.98","56","1.003","82","Celebes Sea    "
"2008-12-05","00:41:14","-8.24","118.21","186","4.4","MLv","14.65","0.57","114","0.958","28","Sumbawa Region; Indonesia   "
"2008-12-05","01:43:31","0.74","126.31","14","4","MLv","9.02","1.06","103","0.784","7","Northern Molucca Sea   "
"2008-12-05","02:14:37","0.59","121.14","66","4","MLv","4.73","0.81","248","0.708","9","Minahassa Peninsula; Sulawesi   "
"2008-12-05","09:29:48","-0.13","123.79","109","3.4","MLv","3.75","0.73","131","0.464","8","Minahassa Peninsula; Sulawesi   "
"2008-12-05","10:24:19","-2.92","128.39","12","4.4","MLv","6.43","0.69","138","0.866","13","Ceram Sea    "
"2008-12-05","10:43:42","1.79","99.08","10","3.2","MLv","3.31","0.52","155","0.933","6","Northern Sumatra; Indonesia   "
"2008-12-05","13:51:48","2.71","95.77","10","4.1","MLv","5.53","1.51","269","0.378","7","Off West Coast of Northern Sumatra"
"2008-12-05","15:08:44","-1.23","135.5","426","3.9","mb","8.62","3.3","189","0.411","6","Irian Jaya Region; Indonesia  "
"2008-12-05","15:18:45","-1.42","120.46","26","3.1","MLv","2.62","1.13","196","0.611","6","Sulawesi; Indonesia    "
"2008-12-05","17:53:04","0.67","122.44","57","2.9","MLv","1.73","0.54","205","0.194","5","Minahassa Peninsula; Sulawesi   "
"2008-12-05","19:08:20","-0.4","122.78","46","2.6","MLv","1.22","0.63","169","0.004","5","Minahassa Peninsula; Sulawesi   "
"2008-12-05","20:32:32","-0.12","123.01","137","2.5","MLv","1.22","0.75","195","0.019","5","Minahassa Peninsula; Sulawesi   "
"2008-12-05","20:53:19","0.74","122.23","72","2.7","MLv","1.85","0.39","229","0.195","5","Minahassa Peninsula; Sulawesi   "
"2008-12-05","21:00:36","-5.58","103.75","11","2.9","MLv","1.45","0.64","279","0.212","6","Southern Sumatra; Indonesia   "
"2008-12-06","00:13:37","5.07","127.17","56","4.9","mb","15.94","2.14","215","1.122","18","Philippine Islands Region   "
"2008-12-06","02:59:14","1.15","122.09","10","2.4","MLv","2.28","0.69","286","1.246","5","Minahassa Peninsula; Sulawesi   "
"2008-12-06","04:22:28","-9.23","110.43","9","4.2","MLv","8.19","1.26","217","1.303","29","South of Java; Indonesia  "
"2008-12-06","04:35:01","-9.22","110.43","15","3.9","MLv","4.01","1.26","224","1.16","21","South of Java; Indonesia  "
"2008-12-06","06:57:45","-8.08","107.93","25","4.1","MLv","3.83","0.54","211","0.655","18","Java; Indonesia    "
"2008-12-06","06:57:47","-6.13","115.46","10","4.8","MLv","5.95","4.01","148","2.351","7","Bali Sea    "
"2008-12-06","08:20:32","-0.05","123.5","211","3.2","MLv","1.64","0.79","179","0.148","6","Minahassa Peninsula; Sulawesi   "
"2008-12-06","10:48:03","0.66","120.69","20","5.1","MLv","13.52","1.26","115","1.47","21","Minahassa Peninsula; Sulawesi   "
"2008-12-06","10:55:27","-7.61","124.68","415","6.4","Mw(mB","52.16","2.63","45","1.478","143","Banda Sea    "
"2008-12-06","11:07:23","2.48","114.73","494","5.3","mb","17.55","6.13","183","1.856","17","Borneo     "
"2008-12-06","12:44:58","-1.88","100.31","15","3.5","MLv","1.41","0.97","263","1.105","6","Southern Sumatra; Indonesia   "
"2008-12-06","13:18:00","-6.79","130.65","73","4.7","mb","19.24","2.37","71","1.699","17","Banda Sea    "
"2008-12-06","13:29:06","-2.8","127.43","10","3","MLv","2.15","0.54","145","0.461","8","Ceram Sea    "
"2008-12-06","14:49:04","-9.7","116.72","9","3.6","MLv","5.68","1.72","324","0.501","11","Sumbawa Region; Indonesia   "
"2008-12-06","15:22:14","-8.01","117.67","10","4.5","MLv","12.68","1.61","104","1.831","26","Sumbawa Region; Indonesia   "
"2008-12-06","18:01:13","0.94","120.34","85","3.6","MLv","3.47","1.67","261","0.566","7","Minahassa Peninsula; Sulawesi   "
"2008-12-06","20:03:27","1.21","121.97","15","2.9","MLv","2.37","0.73","296","0.436","5","Minahassa Peninsula; Sulawesi   "
"2008-12-06","20:40:16","-4.41","122.85","356","3.4","MLv","6.14","0.5","112","1.338","10","Sulawesi; Indonesia    "
"2008-12-06","21:02:53","0.97","123.28","20","3.7","MLv","5.66","0.43","150","2.246","13","Minahassa Peninsula; Sulawesi   "
"2008-12-06","22:00:19","-8.86","129.44","132","4.2","mb","15.4","4.29","255","0.581","5","Timor Sea    "
"2008-12-06","23:45:22","0.67","115.62","10","5.2","mb","13.72","6.22","200","2.714","14","Borneo     "
"2008-12-07","00:53:30","-1.9","127.76","24","3.5","MLv","5.38","1.28","149","0.425","7","Halmahera; Indonesia    "
"2008-12-07","05:41:54","-2.82","139.65","14","4.5","MLv","1.45","1.09","135","0","4","Near North Coast of Irian Jaya"
"2008-12-07","06:02:28","-0.11","122.82","123","2.8","MLv","1.42","0.76","168","0.498","7","Minahassa Peninsula; Sulawesi   "
"2008-12-07","06:41:36","-3.22","104.92","650","3.8","MLv","4.49","1.46","244","1.576","6","Southern Sumatra; Indonesia   "
"2008-12-07","07:13:52","0.01","127.39","158","3.5","MLv","4.73","0.65","169","0.872","9","Halmahera; Indonesia    "
"2008-12-07","08:05:05","-2.79","119.7","10","3.7","MLv","4.74","0.28","216","0.95","9","Sulawesi; Indonesia    "
"2008-12-07","08:45:34","0.46","98.31","21","4.3","MLv","7.65","1.31","195","0.513","12","Northern Sumatra; Indonesia   "
"2008-12-07","11:07:40","1.85","99.08","10","3.4","MLv","3.76","0.57","152","0.348","7","Northern Sumatra; Indonesia   "
"2008-12-07","11:17:54","-9.01","111.26","6","3","MLv","1.46","0.81","272","0.36","8","South of Java; Indonesia  "
"2008-12-07","12:01:40","-10.49","113.3","118","3.7","MLv","3.75","2.18","256","1.118","25","South of Java; Indonesia  "
"2008-12-07","13:46:02","-0.89","120.18","650","3.4","MLv","9.08","2.17","134","1.82","10","Minahassa Peninsula; Sulawesi   "
"2008-12-07","14:37:02","-8.5","129.95","126","4.4","mb","15.99","4.47","171","1.881","12","Timor Sea    "
"2008-12-07","15:17:11","1.16","123.2","7","3","MLv","2.23","0.55","245","0.089","6","Minahassa Peninsula; Sulawesi   "
"2008-12-07","15:38:47","3.03","126.72","650","4.2","mb","6.83","3.72","279","2.287","8","Talaud Islands; Indonesia   "
"2008-12-07","15:43:11","1.36","122.04","10","4.3","MLv","4.91","0.88","265","1.738","8","Minahassa Peninsula; Sulawesi   "
"2008-12-07","17:15:10","1","98.74","10","3.3","MLv","8","0.8","187","1.222","5","Northern Sumatra; Indonesia   "
"2008-12-07","23:12:48","-8.77","115.68","84","2.4","MLv","1.13","0.41","189","1.026","9","Bali Region; Indonesia   "
"2008-12-08","00:17:16","1.76","98.89","10","3.3","MLv","3.44","0.64","167","1.732","11","Northern Sumatra; Indonesia   "
"2008-12-08","01:01:03","-2.98","119.64","10","4","MLv","5.61","0.19","78","0.839","15","Sulawesi; Indonesia    "
"2008-12-08","01:20:08","-5.34","102.72","13","3.5","MLv","1.68","1","279","0.215","7","Southern Sumatra; Indonesia   "
"2008-12-08","02:09:02","-7.3","99.3","650","4.4","mb","8.45","5.6","253","2.449","5","Southwest of Sumatra; Indonesia  "
"2008-12-08","02:10:16","-7.93","105.03","215","4.1","MLv","13.54","1.47","175","1.373","7","Java; Indonesia    "
"2008-12-08","02:16:15","-2.96","128.35","10","2.9","MLv","7.17","0.7","147","0.427","4","Ceram Sea    "
"2008-12-08","02:39:21","-3.18","128","10","3","MLv","6.26","0.54","111","0.452","9","Seram; Indonesia    "
"2008-12-08","04:51:17","-8.4","107.23","15","3.2","MLv","3.91","1.02","130","0.876","10","Java; Indonesia    "
"2008-12-08","07:34:12","-3.98","128.49","10","2.8","MLv","1.57","0.41","263","0.531","7","Seram; Indonesia    "
"2008-12-08","08:53:17","1.12","97.02","15","4.2","MLv","5.5","2.13","244","0.754","13","Northern Sumatra; Indonesia   "
"2008-12-08","10:20:37","-8.55","129.52","102","4.4","mb","14.43","4.31","68","2.386","20","Timor Sea    "
"2008-12-08","11:22:45","-0.39","123.44","180","3.4","MLv","4.1","0.93","132","1.002","11","Minahassa Peninsula; Sulawesi   "
"2008-12-08","15:04:13","-10.04","108.95","15","4.2","MLv","5.37","2.31","189","1.117","14","South of Java; Indonesia  "
"2008-12-08","15:32:00","-0.59","100.61","15","3.6","MLv","1.74","0.25","123","0.473","8","Southern Sumatra; Indonesia   "
"2008-12-08","18:39:53","4.83","96.1","27","3.4","MLv","4.93","0.94","164","0.78","9","Northern Sumatra; Indonesia   "
"2008-12-08","19:20:32","-4.3","122.86","10","4.1","MLv","6.76","0.42","104","1.262","17","Sulawesi; Indonesia    "
"2008-12-09","01:58:24","-1.8","140.92","8","4.4","MLv","3.01","0.74","291","0.781","6","Irian Jaya Region; Indonesia  "
"2008-12-09","04:49:35","1.44","126.44","23","4.2","MLv","9.21","1.14","147","0.759","13","Northern Molucca Sea   "
"2008-12-09","05:33:15","1.27","126.96","70","5.3","mb","63.21","0.64","132","1.773","63","Northern Molucca Sea   "
"2008-12-09","05:40:25","1.23","126.76","31","4.9","MLv","9.65","0.76","131","2.426","20","Northern Molucca Sea   "
"2008-12-09","05:43:20","-5.92","115.62","10","4.2","MLv","13.5","2.72","145","2.313","7","Java Sea    "
