"Date","Time","Latitude","Longitude","Depth","Mag","TypeMag","smaj","smin","az","rms","cPhase","Region"
"2008-10-10","04:11:40","-9.14","117.29","101","3.8","MLv","3.9","1.22","215","0.421","8","Sumbawa Region; Indonesia   "
"2008-10-10","04:27:33","-6.03","128.75","302","4.2","MLv","12.38","1.88","95","0.572","11","Banda Sea    "
"2008-10-10","06:10:37","-3.6","128.8","96","4.9","MLv","8.82","0.28","128","0.536","13","Seram; Indonesia    "
"2008-10-10","08:05:50","-3.35","121.14","249","3.2","MLv","2.2","1.14","253","0","4","Sulawesi; Indonesia    "
"2008-10-10","08:24:08","-2.75","129.43","6","3.6","MLv","2.85","0.78","208","0.37","8","Seram; Indonesia    "
"2008-10-10","08:29:34","-2.1","138.82","33","4.7","mb","26.55","1.99","248","1.13","7","Irian Jaya; Indonesia   "
"2008-10-10","10:38:11","-6.55","131.15","74","4.8","mb","13.67","1.82","107","1.336","12","Tanimbar Islands Reg.; Indonesia  "
"2008-10-10","11:07:14","-0.85","140.88","10","5.1","mb","100.28","13.3","197","1.914","7","Irian Jaya Region; Indonesia  "
"2008-10-10","11:28:48","1.36","97.1","6","4.3","MLv","4.06","1.89","219","0.508","9","Northern Sumatra; Indonesia   "
"2008-10-10","14:17:55","4.35","95.78","65","4.2","MLv","6.54","1.23","188","0.738","8","Northern Sumatra; Indonesia   "
"2008-10-10","15:08:26","-9.3","112.11","30","3.5","MLv","3.08","1.19","241","0.452","15","South of Java; Indonesia  "
"2008-10-10","15:50:35","1.51","98.76","76","3.3","MLv","2.95","1.09","144","0.517","10","Northern Sumatra; Indonesia   "
"2008-10-10","18:21:42","1.68","127.23","94","5.1","mb","26.32","0.91","148","0.882","40","Halmahera; Indonesia    "
"2008-10-10","18:23:41","-8.1","128.9","537","5.1","mb","22.16","6.8","208","2.132","8","Timor Sea    "
"2008-10-10","18:50:03","-5.89","98.48","168","5.1","mb","9.42","4.57","251","0.848","30","Southwest of Sumatra; Indonesia  "
"2008-10-10","19:31:29","2.22","104.15","10","5.7","mb","35.35","8.75","173","1.423","7","Malay Peninsula    "
"2008-10-10","20:36:54","-6.76","106.68","3","3.6","MLv","3.36","0.22","80","0.922","25","Java; Indonesia    "
"2008-10-10","21:26:28","-7.79","111.43","9","4.7","MLv","9.59","0.34","89","0.902","32","Java; Indonesia    "
"2008-10-10","23:23:09","1.86","127.27","58","4.4","MLv","5.5","1.08","218","0.582","11","Halmahera; Indonesia    "
"2008-11-27","01:42:06","1.84","128.01","109","4.7","mb","10.7","1.24","267","0.745","14","Halmahera; Indonesia    "
"2008-11-27","01:48:04","0.48","122.42","102","4.2","MLv","5.15","0.48","159","0.784","10","Minahassa Peninsula; Sulawesi   "
"2008-11-27","01:59:42","1.72","99.12","10","3.5","MLv","2.94","0.44","155","1.422","9","Northern Sumatra; Indonesia   "
"2008-11-27","03:58:45","-7.8","106.9","26","4.4","MLv","5.2","0.86","109","0.634","18","Java; Indonesia    "
"2008-11-27","06:26:04","-1.18","127.05","10","3.5","MLv","4.43","0.7","139","0.917","6","Halmahera; Indonesia    "
"2008-11-27","07:40:01","-0.15","123.09","141","2.9","MLv","1.15","0.78","155","0.35","6","Minahassa Peninsula; Sulawesi   "
"2008-11-27","07:43:15","-0.09","121.28","59","3","MLv","1.88","0.87","169","0.068","6","Minahassa Peninsula; Sulawesi   "
"2008-11-27","09:24:37","-6.12","115.33","549","4.8","mb","20.38","2.68","68","1.327","9","Bali Sea    "
"2008-11-27","09:28:35","-0.09","123.42","106","4.6","MLv","6.39","0.83","127","0.937","9","Minahassa Peninsula; Sulawesi   "
"2008-11-27","11:22:29","-2.17","100.35","17","4","MLv","5.27","1.12","238","0.736","9","Southern Sumatra; Indonesia   "
"2008-11-27","12:22:51","-2.09","99.8","10","4","MLv","5.56","1.35","231","1.688","11","Southern Sumatra; Indonesia   "
"2008-11-27","12:47:20","5.29","127","241","3.9","mb","6.96","2.17","308","0.002","4","Philippine Islands Region   "
"2008-11-27","14:47:26","0.84","122.77","23","2.3","MLv","1.87","0.32","245","0.251","5","Minahassa Peninsula; Sulawesi   "
"2008-11-27","14:47:39","-5.54","130.8","125","3.6","MLv","4.67","1.35","212","0.873","9","Banda Sea    "
"2008-11-27","16:09:18","-8.81","111.17","23","3","MLv","1.22","0.61","286","0.409","8","Java; Indonesia    "
"2008-11-27","16:37:59","-8.15","110.39","10","3.3","MLv","3.73","0.27","188","1.316","14","Java; Indonesia    "
"2008-11-27","17:31:16","1.14","96.87","99","3.9","MLv","5.31","2.13","243","1.201","8","Off West Coast of Northern Sumatra"
"2008-11-27","17:58:37","5.26","94.72","30","3.8","MLv","3.15","0.62","299","0.785","4","Northern Sumatra; Indonesia   "
"2008-11-27","17:59:43","-1.04","99.96","10","3.6","MLv","1.86","0.52","166","0.27","8","Southern Sumatra; Indonesia   "
"2008-11-27","18:36:37","-4.26","128.16","53","2.8","MLv","1.19","0.57","323","0.312","5","Banda Sea    "
"2008-11-27","20:43:46","-7.31","126.59","440","4.9","mb","32.1","3.94","48","1.573","62","Banda Sea    "
"2008-11-27","22:11:12","-3.7","128.79","30","2.5","MLv","0.6","0.38","250","0.146","6","Seram; Indonesia    "
"2008-11-27","23:20:54","0.09","121.85","112","3","MLv","2.19","0.39","233","0.674","7","Minahassa Peninsula; Sulawesi   "
"2008-11-28","02:12:01","-0.36","123.15","83","3","MLv","1.46","0.78","217","0.316","6","Minahassa Peninsula; Sulawesi   "
"2008-11-28","03:37:15","-7.62","107.84","124","3.8","MLv","2.35","0.07","311","0.084","5","Java; Indonesia    "
"2008-11-28","03:37:15","-7.76","107.83","116","4","MLv","5.59","0.2","121","0.417","17","Java; Indonesia    "
"2008-11-28","03:45:14","1.22","121.87","10","3.9","MLv","2.42","0.75","292","0.889","7","Minahassa Peninsula; Sulawesi   "
"2008-11-28","06:19:17","-3.56","127.23","20","3.7","MLv","2.91","0.35","227","1.853","9","Seram; Indonesia    "
"2008-11-28","08:50:47","-4.92","101.53","19","5.9","Mw(mB","72.67","1.52","58","1.915","99","Southern Sumatra; Indonesia   "
"2008-11-28","10:04:44","1.18","122.04","10","3.4","MLv","5.14","0.71","226","1.066","8","Minahassa Peninsula; Sulawesi   "
"2008-11-28","11:15:53","-0.04","123.07","120","2.6","MLv","1.24","0.67","201","0.288","5","Minahassa Peninsula; Sulawesi   "
"2008-11-28","11:21:25","-5.87","104.12","10","3.8","MLv","1.37","0.85","290","0.314","10","Southern Sumatra; Indonesia   "
"2008-11-28","12:12:23","-1.87","121.07","10","3.2","MLv","3.16","1.01","170","1.139","8","Sulawesi; Indonesia    "
"2008-11-28","12:56:41","0.1","119.46","10","4.9","MLv","14.43","2.32","93","1.379","18","Minahassa Peninsula; Sulawesi   "
"2008-11-28","14:00:34","-8.54","111.63","100","4.6","MLv","31.38","0.54","102","1.342","50","Java; Indonesia    "
"2008-11-28","15:32:24","-7.91","106.99","10","3.1","MLv","1.37","0.89","283","0.961","7","Java; Indonesia    "
"2008-11-28","21:12:25","0.79","99.79","10","3.5","MLv","4.55","0.21","141","1.906","5","Northern Sumatra; Indonesia   "
"2008-11-28","23:36:04","1.01","95.65","10","4.6","MLv","6.56","2.71","287","2.351","9","Off West Coast of Northern Sumatra"
"2008-11-29","00:41:35","1.88","98.97","23","3.9","MLv","3.78","0.81","156","2.034","10","Northern Sumatra; Indonesia   "
"2008-11-29","02:52:55","-9.02","116.93","12","3.8","MLv","5.26","0.84","190","1.092","14","Sumbawa Region; Indonesia   "
"2008-11-29","06:16:50","-8.92","117.87","180","4.7","MLv","7.59","1.71","185","0.828","9","Sumbawa Region; Indonesia   "
"2008-11-29","07:19:11","0.45","122.18","89","3.7","MLv","6.13","0.24","115","0.484","8","Minahassa Peninsula; Sulawesi   "
"2008-11-29","12:57:48","1.53","122.24","10","3.3","MLv","2.61","1.09","303","1.5","6","Minahassa Peninsula; Sulawesi   "
"2008-11-29","15:47:26","5.85","126.12","154","4.4","MLv","9.09","1.32","190","1.056","9","Mindanao; Philippines    "
"2008-11-29","16:24:11","-5.93","132.25","66","4.5","MLv","9.79","0.57","114","0.462","15","Aru Islands Region; Indonesia  "
"2008-11-29","18:09:49","0.54","121.88","62","3.2","MLv","2.1","0.08","295","0.832","6","Minahassa Peninsula; Sulawesi   "
"2008-11-29","18:36:17","1.9","127.08","92","3.9","MLv","15.19","1.16","206","1.178","15","Halmahera; Indonesia    "
"2008-11-29","18:54:03","-6.69","106.54","10","2.6","MLv","1.08","0.25","143","0.745","5","Java; Indonesia    "
"2008-11-29","19:30:40","-3.48","129.08","30","2.3","MLv","1.32","0.2","190","1.541","6","Seram; Indonesia    "
"2008-11-29","20:34:19","-6.96","105.16","11","3.1","MLv","2.7","0.63","227","0.807","12","Sunda Strait; Indonesia   "
"2008-11-29","21:32:24","-0.26","122.53","10","2.7","MLv","1.02","0.81","159","1.27","6","Minahassa Peninsula; Sulawesi   "
"2008-11-29","22:29:58","1.09","122.38","10","3.3","MLv","2.15","0.75","252","0.986","5","Minahassa Peninsula; Sulawesi   "
"2008-11-29","23:00:56","1.32","128.66","36","4.4","MLv","10.79","1.41","183","1.044","21","Halmahera; Indonesia    "
"2008-11-29","23:10:15","1.22","128.63","6","4.5","MLv","10.85","1.34","180","0.823","19","Halmahera; Indonesia    "
"2008-11-30","00:21:29","2.54","128.49","219","4.3","mb","23.06","2.08","213","1.607","16","Halmahera; Indonesia    "
"2008-11-30","03:01:08","-3.68","119.16","17","3.4","MLv","1.89","0.22","157","0.156","7","Sulawesi; Indonesia    "
"2008-11-30","03:12:26","-1.02","99.15","30","2.9","MLv","2.42","0.31","175","1.142","6","Southern Sumatra; Indonesia   "
"2008-11-30","03:19:24","-10.81","111.83","10","3.9","MLv","5.11","2.68","245","1.059","15","South of Java; Indonesia  "
"2008-11-30","03:42:00","-8.44","115.49","20","2.1","MLv","0.87","0.14","170","0.104","6","Bali Region; Indonesia   "
"2008-11-30","08:20:08","1.02","122.21","10","3.9","MLv","2.12","0.6","257","0.959","8","Minahassa Peninsula; Sulawesi   "
"2008-11-30","08:44:59","-5.04","103.06","25","3.2","MLv","1.7","0.68","252","0.175","9","Southern Sumatra; Indonesia   "
"2008-11-30","08:52:26","-9.85","114.44","18","3.5","MLv","3.17","1.24","250","0.626","17","South of Bali; Indonesia  "
"2008-11-30","09:50:55","-9.15","113.15","14","3.2","MLv","2.17","0.92","215","0.76","15","South of Java; Indonesia  "
"2008-11-30","10:46:05","-2.17","121.28","10","2.8","MLv","2.33","1.03","167","0.834","8","Sulawesi; Indonesia    "
"2008-11-30","12:37:29","-4.15","102.13","27","3.7","MLv","3.62","0.68","218","0.783","6","Southern Sumatra; Indonesia   "
"2008-11-30","17:51:06","1.61","121.57","10","3.6","MLv","4.95","1.19","283","0.879","5","Minahassa Peninsula; Sulawesi   "
"2008-11-30","21:19:11","1.83","99.02","10","4.6","MLv","8.15","0.6","129","1.591","23","Northern Sumatra; Indonesia   "
"2008-11-30","23:12:19","1.01","121.65","164","3","MLv","2.32","0.6","314","0.514","5","Minahassa Peninsula; Sulawesi   "
"2008-11-30","23:20:51","1.08","121.22","23","3.6","MLv","2.62","0.94","320","0.474","6","Minahassa Peninsula; Sulawesi   "
"2008-12-01","00:35:50","-8.07","120.3","10","3.7","MLv","4.12","1.59","110","0.507","10","Flores Region; Indonesia   "
"2008-12-01","00:45:44","4.33","112.23","10","6","mb","74.63","8.9","154","1.678","8","South China Sea   "
"2008-12-01","01:31:08","1.76","121.81","10","4","MLv","5.17","1.28","113","1.849","9","Minahassa Peninsula; Sulawesi   "
"2008-12-01","03:39:27","-4.5","101.3","36","4.3","MLv","4.12","1.54","246","0.232","9","Southern Sumatra; Indonesia   "
"2008-12-01","03:41:19","0.59","98.47","8","3.8","MLv","5.51","1.13","172","0.738","11","Northern Sumatra; Indonesia   "
"2008-12-01","07:21:41","-0.05","122.06","229","3.6","MLv","4.51","0.54","130","0.871","11","Minahassa Peninsula; Sulawesi   "
"2008-12-01","09:00:01","-1.75","99.04","12","3.8","MLv","2.45","1.65","309","0.337","5","Southern Sumatra; Indonesia   "
"2008-12-01","10:00:31","-2.52","128.86","10","3.4","MLv","2.25","0.82","264","0.795","8","Ceram Sea    "
"2008-12-01","11:19:44","-0.23","122.68","19","3.2","MLv","1.24","0.81","153","0.954","7","Minahassa Peninsula; Sulawesi   "
